Gill Bejerano
Aaron Sidford
Yiyun Liang
Vijay Pande
Monica Anuforo
Peter McEvoy
Jennie Chen
Dorsa Sadigh
Jiajun Wu
Milan Mosse
Matei Zaharia
Joseph Cloward
Sarah Ciresi
Suraj Nair
Pat Hanrahan
Zhihan Xiong
Alex Ozdemir
Varun Nayak
Sean Decker
Jeannette Bohg
Aleksandar Zeljic
Catherine Gu
Hemant Taneja
Krishna Patel
Anand Rajaraman
Ray Li
Yue Li
Paul Milgrom
Di Bai
Ron Dror
Nolan Johnson
Russell Poldrack
Christina Yuan
Eric Yang
Jayant Thatte
Andrey Kurenkov
Adam Pahlavan
Guhan Venkataraman
Nidhi Manoj
Bryce Cai
Jennifer Widom
Luke Miller
Anthony Galczak
Erika Strandberg
Mark Krass
Abhishek Sinha
Sicheng Zeng
Mina Lee
Tianhe Yu
Thomas Dean
Chris Piech
Mendel Rosenblum
Belce Dogru
Yilong Li
Shashwat Silas
Erin Cooper
Yoav Shoham
Huizi Mao
Holly Chiang
Eleanor Selfridge-Field
Christopher Manning
Crystal Zheng
Julia Truitt
John McCarthy
Xingyu Liu
Aviad Rubinstein
Taide Ding
Moses Charikar
KiJung Park
John Ousterhout
Ashish Goel
Yinchen Xu
Daniel Cai
John Melloni
Junyao Zhao
Tomer Arnon
Andrew Maas
Aitan Grossman
Paul Magon de La Villehuchet
Sherwin Smith
Hao Sheng
Emma Brunskill
Reid Pryzant
Bryan Kim
Rok Sosic
Nolan Handali
Yianni Laloudakis
Mary Wootters
Saba Eskandarian
Benjamin Van Roy
Andrea Zanette
Garrick Fernandez
Meera Srinivasan
Dennis Wall
Brent Yi
Conner Smith
Sadjad Fouladi
Vaughan Pratt
Sarah Johnson
Edward Feigenbaum
Jane Wu
Roland Angst
Nicholas Barbier
Amanda Spyropoulos
Jennifer Tao
Wantong Jiang
Maxime Voisin
Nathan Zhang
Lauren Zhu
Daniel Semeniuta
Philip Levis
Martin Fischer
YOUNES BENSOUDA MOURRI
Eli Echt-Wilson
Erik Jones
Ray Briggs
William Marshall
Andrea Montanari
Kara Marquez
Jocelyn Goldfein
Joe Vincent
Amin Saberi
Abdallah AbuHashem
Kathryn Rydberg
Paulo Blikstein
Jingwei Huang
Michael Snyder
Stefano Ermon
Narayanan Shivakumar
Leonidas Guibas
Wayne Grant
Wesley Guo
Andrew Ng
Reyna Hulett
Nick Parlante
Li-Yang Tan
Geoff Ramseyer
Kristy Choi
Juliette Love
Marcus Palsson
Allison Okamura
Haoshen Hong
Roy Pea
John Gill
Arnaud Autef
Mitchell Gordon
Brahm Capoor
R.B. Brenner
Alexandre Matton
Christine Liu
Rifath Rashid
P Pandurang Nayak
Andrew Benson
John Hewitt
N. Lance Downing
Kevin Thomas
Jia Li
Laura Miron
Ramesh Johari
Andrew Guan
Aditya Grover
Tong Mu
Kritika Yegnashankaran
Julie Zelenski
Ethan Steinberg
Kunal Menda
Yang Song
Chris Waites
Soyeon Jung
Oussama Khatib
Jennifer Aaker
Emma Chen
Herb Lin
Eric Luxenberg
Vineet Kosaraju
Yulian Zhou
Weiyun Ma
Ali Mottaghi
Ben Barnett
Luke Sturm
Dhruv Kedia
Xianzhe Zhang
Arjun Sawhney
Rob Reich
David Hansen
Richard Diehl Martinez
Liz Guo
Ruta Joshi
Nicholas Troccoli
Hugh Zhang
Mike Wu
Cindy Jiang
David Lindell
Luyao Hou
Zhihao Jia
Hang Jiang
Mandy Lu
Collin Lee
Rohan Badlani
Peiyu Liao
Frits van Paasschen
Christos Kozyrakis
Ann Grimes
Rocky Aikens
Eric Roberts
Mehran Sahami
Adam Stanford-Moore
Jenna Lee
Sasha Harrison
Michael Chang
Nick Bowman
Adithya Ganesh
Andrew Tan
Lisa Yan
Mars Huang
Keala Alvarez
Tim Roughgarden
Amita Kamath
Steve Eglash
Gili Rusak
Victor Zhang
Ron Fedkiw
Boxiao Pan
Wen Zhou
Keith Winstein
Haoze Wu
Cece Torres
Amy Chen
Andreas Paepcke
Robbie Jones
Kevin Zakka
J Salisbury
Amaury Sabran
Negin Heravi
Apoorva Sharma
Kevin Wu
David Yao
Sylvia Plevritis
Yafeng Wang
Silvio Savarese
Paul Hegarty
Christopher Potts
Pei Cao
Maneesh Agrawala
ASHAR ALAM
Anastasiya Vitko
Elena Goldstein
Peng-Wen Lin
Omer Reingold
Jaewoo Jang
Peter Kraft
Anjini Karthik
Ahmed Shuaibi
Lucas Lin
Mark Musen
Ning Niu
David Cheriton
Thomas Icard
Daphne Koller
David Varodayan
Nik Marda
Chenru Liu
Kylie Jue
Daniel Tang
Alex Aiken
Griffin Dietz
Marc Levoy
Annie Marsden
Boris Ivanovic
Adrian Sanborn
Swati Batra
Vinay Chaudhri
Karey Shi
Maxime Cauchois
Julie Wang
Keith Schwarz
Ohad Fried
Caroline Braviak
Ardavan Pedram
Alex Tseng
Amirata Ghorbani
Jingbo Yang
Chuma Kabaghe
Juan Carlos Niebles Duque
Leo Mehr
Serena Yeung
Hubert Teo
Christopher Gregg
Fatma Tlili
Dan Jurafsky
Shushman Choudhury
Nicolai Ostberg
Janna Huang
Kexin Rong
Sofia Avila Jamesson
Jeremy Weinstein
Albert Gu
David Lin
Andrew Wang
Hector Garcia-Molina
Jon Braatz
Mykel Kochenderfer
Doug James
Mengyuan Yan
Evan Strasnick
John Hennessy
Sean Follmer
Jeffrey Woo
Fei Fang
Feross Aboukhadijeh
Rex Ying
Jacqueline Yau
Chris Re
Dan Yamins
Patrick Hayden
Alex Stamos
Tim Gianitsos
Kaylie Zhu
Yesenia Gallegos
Dawson, Engler
Marco Patrignani
Shahab Mousavi
Michael Genesereth
Michael Levitt
Anqi Fu
Jennifer She
Jeffrey Ullman
Ben Anderson
Qiwen Wang
Roberto Martín Martín
Robert Moss
Vidya Rangasayee
Jeff Sheng
Sharad Goel
Martin Kay
Oghenetegiri Sido
Harry Sha
Parth Sarin
Nick Hirning
Ashutosh Saxena
Andrew Sharp
Duligur Ibeling
Fang-Yu Lin
Sachin Katti
Eiko Rutherford
Chuanbo Pan
Toki Migimatsu
Anton de Leon
Meixian Zhu
Ryan Smith
Ryan Eberhardt
Gregory Valiant
Will Crichton
Manuel Rivas
Sarah Tieu
Kaylee Zhang
Jo Chuang
Bill Dally
Nishant Rai
Anand Shankar
Julie Stanford
Albert Feng
Serge Plotkin
Cole DePasquale
James Zou
Daniel Rubin
Terry Winograd
Tri Dao
Jerry Cain
Roland Vogl
Vasco Portilheiro
Ranjay Krishna
Kayvon Fatahalian
Isaac Westlund
Sebastian Thrun
Stephen Boyd
Erin McCoy
Sriram Somasundaram
Jiaming Song
Sherry Ruan
Julea Chin
Pranav Rajpurkar
Bo Yoo
Zack Cinquini
Adam Nash
Mauria Finley
Gio Wiederhold
Dan Sosa
Vera Lin
Armando Fox
Rui Shu
Alexa Siu
Amrita Venkatraman
Larry Kalesinskas
Daniel Kang
Grace Kim
Prasanna Ramakrishnan
David Lobell
Michael Bernstein
Margaret Guo
Garrett Thomas
Prerna Mahesh Dhareshwar
Peter Bailis
Hancheng Cao
Yujia Jin
Hilary Cohen
Emma Spellman
Mert Esencan
Kian Katanforoosh
Kevli Li
Thomas Yim
Fouad Tobagi
Richard Socher
Timothy Le
Swathi Iyer
Isaac Scheinfeld
John Duchi
Benjamin Woodford
Marshall Burke
Michelle Lee
Zakir Durumeric
Balaji Prabhakar
Oliver Aalami
Jay Borenstein
Ofir Geri
Catherine Mullings
Sarah Tollman
Ivy Wang
Bernd Girod
Benjamin Petit
Serafim Batzoglou
Matthew Lee
Rachael Tompa
Jayden Navarro
Esther Goldstein
Jaap Suermondt
Gautam Machiraju
Sonja Johnson-Yu
Michele Catasta
Mohammad Akbarpour
Danfei Xu
Anand Avati
Alex Weitzman
Urvashi Khandelwal
Jerry Kaplan
James Carroll
Xinru Hua
Albert Zheng
Alexis Goh Weiying
Ge Wang
Jean-Claude Latombe
Lancy Nazaroff
Aleksander Dash
Kianna Wan
Erdem Biyik
Havin Hosgur
Mark Horowitz
Zach Harned
Yao Liu
Jonathan Li
Clark Barrett
Samuel Reamer
Richard Fikes
Dima Kogan
Alex Tsun
Will Zhuk
Amy Liu
Tara Iyer
Megan Harris
Jerry Qu
Oyekunle Olukotun
Prabhaker Raghavan
Arushi Raghuvanshi
Cynthia Lee
Kyle D'Souza
Chloe Thai
Florian Tramer
Angela Cheng
Michael Thompson
Horace Chu
Monica Lam
Andrew Bylard
Ruth Harris
Nikhil Athreya
Liz Chin
Shrey Gupta
Kathleen Fisher
John Tang
Dilara Soylu
Rohan Sampath
Ben Hannel
Bill MacCartney
Raunak Bhattacharyya
Anshul Kundaje
Cooper Raterink
Amir Bahmani
Jongho Kim
Subhasish Mitra
Sean Konz
Sarah Hensley
Pratiksha Thaker
James Landay
Albert Zuo
Russ Altman
Robert Plummer
Nathan Fotedar
Krishna Bharat
Fredrik Kjoelstad
Patrick Young
Patrick DeMichele
Will Deaderick
Jeremy Yu
Craig Sapp
Jason Lin
Tengyu Ma
Dan Boneh
Joshua Spayd
Camille Utterback
Stefan Swaans
Susanna Maria Baby
Akshat Jindal
Manon Romain
Christina Wodtke
Timothy Chou
Katherine Erdman
Ruge Zhao
Gordon Wetzstein
William Chong
Kevin Baichoo
Marco Pavone
Deepak Narayanan
Stephen Montgomery
Jennie Yang
Chelsea Finn
Kuangcong Liu
Rahul Pandey
Kaidi Cao
Yilin Zhu
Oishi Banerjee
Jessica Guo
Armin Namavari
Ehsan Adeli
Nick McKeown
Fei-Fei Li
David Dill
Bryan Cai
Scott Fleming
laksshman sundaram
Advay Pal
John Mitchell
Percy Liang
Anthony Li
Karen Liu
Andy Chen
Noah Goodman
David Mazieres
Possu Huang
Frank Bentley
Clara McCreery
Wil Kautz
Jure Leskovec
Emily Marx
Eric Matsumoto
Nima Ahmadipouranari
Shivam Garg
Kristine Guo
Eric Chan
Kush Khosla
Surya Ganguli
Sarah Najmark
Noah Arthurs
